Linux 4.2.8-300.fc23.x86_64 (localhost.localdomain) 	12/12/16 	_x86_64_	(1 CPU)

11:15:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:15:16       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:15:17       0   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
11:15:18       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:15:19       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:15:20       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:15:21       0   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:15:22       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:15:23       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:15:24       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:15:25       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
Average:       0   99.70    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00    0.20
