C0       N        IDLE    
41       1        80.38   
68       2        64.98   
90       3        58.85   
112      4        54.89   
130      5        50.05   
150      6        46.37   
169      7        40.81   
177      8        39.62   
182      9        35.58   
199      10       30.14   
197      11       24.55   
212      12       23.30   
242      13       25.03   
230      14       25.71   
241      15       25.45   
246      16       21.43   
258      17       21.70   
254      18       20.89   
268      19       20.08   
262      20       19.46   
279      21       13.42   
273      22       11.76   
283      23       11.91   
300      24       9.92    
283      25       11.90   
223      26       1.73    
219      27       7.04    
342      28       2.32    
293      29       10.88   
308      30       7.85    
330      31       4.22    
346      32       1.91    
303      33       7.44    
340      34       2.91    
327      35       5.72    
347      36       0.41    
344      37       2.61    
344      38       1.41    
350      39       0.40    
350      40       0.20    
345      41       0.81    
345      42       0.70    
354      43       0.30    
348      44       0.50    
349      45       0.30    
345      46       0.50    
345      47       0.00    
348      48       0.30    
348      49       0.30    
345      50       0.40    
